Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
12:51 AM,58,53,84, SSW,5,0,29.14,0, Partly Cloudy
1:51 AM,56,53,90, SW,5,0,29.14,0, Partly Cloudy
2:51 AM,56,52,87, SW,3,0,29.15,0, Fair
3:51 AM,56,52,87, SW,5,0,29.15,0, Partly Cloudy
4:51 AM,56,52,87, SW,5,0,29.16,0, Mostly Cloudy
5:51 AM,54,51,90, SSW,5,0,29.18,0, Fair
6:51 AM,54,51,90, SSW,6,0,29.2,0, Fair
7:51 AM,55,51,86, SW,3,0,29.22,0, Fair
8:51 AM,59,53,81, SW,5,0,29.22,0, Fair
9:51 AM,66,56,70, WSW,5,0,29.23,0, Fair
10:51 AM,70,51,51, NNW,13,0,29.25,0, Fair
11:51 AM,71,50,47, NW,10,17,29.25,0, Fair
12:51 PM,71,51,49, NW,9,0,29.24,0, Fair
1:51 PM,73,52,48, VAR,3,0,29.24,0, Fair
2:51 PM,72,49,44, NNW,9,0,29.23,0, Fair
3:51 PM,73,49,42, NNW,10,0,29.22,0, Fair
4:51 PM,73,48,41, NNW,9,0,29.22,0, Fair
5:51 PM,72,49,44, NNW,5,0,29.21,0, Fair
6:51 PM,71,45,39, WNW,6,0,29.21,0, Fair
7:51 PM,68,44,42, CALM,0,0,29.2,0, Fair
8:51 PM,66,49,54, SSE,5,0,29.22,0, Fair
9:51 PM,61,49,64, SSE,7,0,29.22,0, Fair
10:51 PM,59,50,72, SSE,8,0,29.23,0, Fair
11:51 PM,60,49,67, S,8,0,29.24,0, Fair


